y;matricula;genero;promedio;gms;Créditos por tomar; Avance %;2017-II_mat1;2017-II_notamat1;2017-II_mat2;2017-II_notamat2;2017-II_mat3;2017-II_notamat3;2017-II_mat4;2017-II_notamat4;2017-II_mat5;2017-II_notamat5;2017-II_mat6;2017-II_notamat6;2017-II_mat7;2017-II_notamat7;2018-I_cmat1;2018-I_notacmat1;2018-I_cmat2;2018-I_notacmat2;2018-I_cmat3;2018-I_notacmat3;2018-I_cmat4;2018-I_notacmat4;2018-I_cmat5;2018-I_notacmat5;2018-I_cmat6;2018-I_notacmat6;2018-I_cmat7;2018-I_notacmat7
579;201711959;F;7,08;0,896;134;18,79;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;6,35;CÁLCULO DE UNA VARIABLE;6,18;COMUNICACIÓN I;7,15;QUÍMICA GENERAL;6,28;;;;;;;ÁLGEBRA LINEAL;5,06;BIOLOGÍA;7,36;CÁLCULO DE VARIAS VARIABLES;7,14;COMUNICACIÓN II;7,45;FUNDAMENTOS DE PROGRAMACIÓN;6,72;;;;
580;201702446;F;7,72;0,989;130;18,24;ÁLGEBRA LINEAL;6,22;CÁLCULO DE VARIAS VARIABLES;6,86;FÍSICA I;4,92;FUNDAMENTOS DE PROGRAMACIÓN;4,28;;;;;;;BIOLOGÍA;8,65;COMUNICACIÓN II;7,35;DANZA;9,75;DEPORTE: BALONCESTO;0;FUNDAMENTOS DE PROGRAMACIÓN;8,72;INGLÉS I;8,45;;
581;201607421;F;7,39;0,567;89;38,19;ÁLGEBRA LINEAL;5,02;CÁLCULO DE VARIAS VARIABLES;5,78;MACROECONOMÍA I;7,95;MICROECONOMÍA I;7,25;;;;;;;ÁLGEBRA LINEAL;1,74;BIOLOGÍA;6,98;CÁLCULO DE UNA VARIABLE;4,48;COMUNICACIÓN II;6,85;FUNDAMENTOS DE PROGRAMACIÓN;9,14;;;;
582;201421780;F;7,56;0,416;97;32,64;ÁLGEBRA LINEAL;4,78;DANZA;9,45;INGLÉS I;8,52;MACROECONOMÍA I;8,2;MICROECONOMÍA I;5,35;;;;;BIOLOGÍA;8,68;CÁLCULO DE VARIAS VARIABLES;6;FUNDAMENTOS DE PROGRAMACIÓN;3,58;INGLÉS II;6,56;MICROECONOMÍA I;6,75;;;;
583;201708757;M;7,50;0,558;128;19,50;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,15;CÁLCULO DE UNA VARIABLE;4;COMUNICACIÓN I;6,75;QUÍMICA GENERAL;6,83;;;;;;;ÁLGEBRA LINEAL;1,74;BIOLOGÍA;6,98;CÁLCULO DE UNA VARIABLE;4,48;COMUNICACIÓN II;6,85;FUNDAMENTOS DE PROGRAMACIÓN;9,14;;;;
584;201603057;M;7,23;0,369;125;22,84;ÁLGEBRA LINEAL;6,24;ESTADÍSTICA;4,54;FÍSICA I;6,08;FUNDAMENTOS DE PROGRAMACIÓN;1,86;INGLÉS II;7,12;;;;;ECUACIONES DIFERENCIALES;5,2;FÍSICA II;5,84;FUNDAMENTOS DE PROGRAMACIÓN;5,4;INGLÉS III;5,72;MECÁNICA VECTORIAL;0,8;;;;
585;201602976;M;7,44;2,122;106;34,57;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,15;BIOLOGÍA;6,87;DEPORTE: FÚTBOL;9,6;ECUACIONES DIFERENCIALES;1,6;FÍSICA II;6,1;;;;;ECUACIONES DIFERENCIALES;6,7;FÍSICA III;6,38;FUNDAMENTOS DE PROGRAMACIÓN;7,2;QUÍMICA GENERAL;6,37;;;;;;
586;201709052;M;7,66;0,590;125;21,38;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,7;CÁLCULO DE UNA VARIABLE;4,78;COMUNICACIÓN I;6,15;INGLÉS V;8,07;QUÍMICA GENERAL;6,08;;;;;ÁLGEBRA LINEAL;4,56;BIOLOGÍA;8,25;CÁLCULO DE UNA VARIABLE;7,5;COMUNICACIÓN II;8,5;FUNDAMENTOS DE PROGRAMACIÓN;8,2;;;;
587;201808201;M;8,41;0,571;138;16,36;;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,3;CÁLCULO DE UNA VARIABLE;7,24;COMUNICACIÓN I;7,5;FUNDAMENTOS DE PROGRAMACIÓN;7,8;QUÍMICA GENERAL;8;;;;
588;201703220;M;7,20;0,350;125;24,24;ÁLGEBRA LINEAL;7,68;BIOLOGÍA;8,15;CÁLCULO DE VARIAS VARIABLES;7,82;COMUNICACIÓN II;7;DEPORTE: BALONCESTO;9,9;FÍSICA I;6,26;;;DIBUJO TÉCNICO Y PLANOS;7,13;ECUACIONES DIFERENCIALES;6,82;FÍSICA II;4,74;FUNDAMENTOS DE PROGRAMACIÓN;6,54;INGLÉS I;6,38;MECÁNICA VECTORIAL;6,66;;
589;201709698;M;7,20;1,571;131;20,61;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,1;CÁLCULO DE UNA VARIABLE;5,98;COMUNICACIÓN I;6,8;QUÍMICA GENERAL;6,05;;;;;;;ÁLGEBRA LINEAL;5,02;CÁLCULO DE UNA VARIABLE;7,64;COMUNICACIÓN II;7,05;FUNDAMENTOS DE PROGRAMACIÓN;6,7;INGLÉS V;7,18;INTRODUCCIÓN A LA INGENIERÍA CIVIL;7,6;;
590;201704954;F;7,67;0,818;96;32,87;COMUNICACIÓN II;8,15;FRANCÉS BÁSICO A;8,65;FUNDAMENTOS DE ADMINISTRACIÓN;6,75;INTRODUCCIÓN A LA ECONOMÍA;7,75;TEORÍA DEL TURISMO;7,25;;;;;ESTADÍSTICA;7,28;FUNDAMENTOS DE PROGRAMACIÓN;2,6;GEOGRAFÍA FÍSICA;7,45;HISTORIA DEL ARTE I;6,35;INTRODUCCIÓN A LA GESTIÓN AMBIENTAL;6,6;;;;
591;201604030;F;7,72;0,694;101;29,86;;;;;;;;;;;;;;;CÁLCULO DE VARIAS VARIABLES;5,36;FUNDAMENTOS DE ADMINISTRACIÓN;7,25;FUNDAMENTOS DE PROGRAMACIÓN;6,6;INTRODUCCIÓN A LA ECONOMÍA;7,05;MATEMÁTICAS FINANCIERAS;6,92;;;;
592;201707551;M;7,78;0,228;93;34,04;ARTE Y CIENCIA;8,84;COMUNICACIÓN II;8,3;ESTADÍSTICA;6,9;FÍSICA CONCEPTUAL;7,38;MATEMÁTICAS FINANCIERAS;8,45;;;;;BIOLOGÍA;7,77;DEPORTE: AJEDREZ;8,8;FUNDAMENTOS DE PROGRAMACIÓN;6,52;HISTORIA DEL ARTE I;7,1;HISTORIA DEL CINE I;6,35;;;;
593;201705985;M;7,72;1,177;79;39,69;BIOLOGÍA;6,98;COMUNICACIÓN II;7,65;ESTADÍSTICA;6,8;FÍSICA CONCEPTUAL;7,9;MORFOLOGÍA HUMANA;7,35;QUÍMICA ORGÁNICA I;6,28;;;ANÁLISIS NUTRICIONAL DE LOS ALIMENTOS;8,6;BIOLOGÍA CELULAR Y MOLECULAR;7,27;BIOQUÍMICA;8,1;FUNDAMENTOS DE PROGRAMACIÓN;6,1;INGLÉS V;8,33;;;;
594;201708674;M;7,71;2,951;124;22,98;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,2;CÁLCULO DE UNA VARIABLE;6;COMUNICACIÓN I;7,4;FUNDAMENTOS DE PROGRAMACIÓN;5,92;QUÍMICA GENERAL;6,66;;;;;BIOLOGÍA;8,7;CÁLCULO DE VARIAS VARIABLES;7,16;COMUNICACIÓN II;7,9;FÍSICA I;7,4;FUNDAMENTOS DE PROGRAMACIÓN;8,04;;;;
595;201710043;M;8,27;0,726;123;22,64;ÁLGEBRA LINEAL;9,35;BIOLOGÍA;8,96;CÁLCULO DE UNA VARIABLE;7,40;COMUNICACIÓN I;8,75;QUÍMICA GENERAL;7,41;;;;;ÁLGEBRA LINEAL;7,5;CÁLCULO DE VARIAS VARIABLES;8,66;COMUNICACIÓN II;8,3;FÍSICA I;7,4;FUNDAMENTOS DE PROGRAMACIÓN;8,02;;;;
596;201701752;F;7,92;0,955;77;41,22;BIOLOGÍA;8,52;COMUNICACIÓN II;7,9;ESTADÍSTICA;7,7;FÍSICA CONCEPTUAL;7,56;MORFOLOGÍA HUMANA;9;QUÍMICA ORGÁNICA I;6,06;;;ANÁLISIS NUTRICIONAL DE LOS ALIMENTOS;9,37;BIOLOGÍA CELULAR Y MOLECULAR;7,9;BIOQUÍMICA;8,01;FISIOLOGÍA HUMANA;8,75;FUNDAMENTOS DE PROGRAMACIÓN;6,78;;;;
597;201703550;M;7,80;0,480;124;22,01;ÁLGEBRA LINEAL;2,68;BIOLOGÍA;9,01;CÁLCULO DE VARIAS VARIABLES;5,42;DANZA;9,3;FUNDAMENTOS DE PROGRAMACIÓN;4,54;;;;;ÁLGEBRA LINEAL;4,4;CÁLCULO DE VARIAS VARIABLES;6,04;COMUNICACIÓN II;8,05;EDUCACIÓN SOCIOEMOCIONAL;9,9;FÍSICA I;4,46;FUNDAMENTOS DE PROGRAMACIÓN;8;;
598;201712635;M;8,10;0,706;131;19,14;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,8;CÁLCULO DE UNA VARIABLE;5,54;COMUNICACIÓN I;8,25;QUÍMICA GENERAL;6,42;;;;;;;BIOLOGÍA;7,4;CÁLCULO DE UNA VARIABLE;6,5;COMUNICACIÓN II;8,2;FUNDAMENTOS DE PROGRAMACIÓN;5,62;INGLÉS V;9,28;;;;
599;201706512;M;7,82;0,450;128;22,42;ÁLGEBRA LINEAL;6,4;BIOLOGÍA;8,78;CÁLCULO DE VARIAS VARIABLES;6,78;FÍSICA I;6,28;FRANCÉS BÁSICO A;9,6;;;;;COMUNICACIÓN II;8,15;DIBUJO TÉCNICO Y PLANOS;10;ECUACIONES DIFERENCIALES;5,84;FUNDAMENTOS DE PROGRAMACIÓN;7,88;INGLÉS I;8,98;MECÁNICA VECTORIAL;6,68;;
600;201710647;F;8,11;1,203;123;22,64;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,05;BIOLOGÍA;9,02;CÁLCULO DE UNA VARIABLE;5,18;COMUNICACIÓN I;7,80;QUÍMICA GENERAL;7,60;;;;;ÁLGEBRA LINEAL;5,24;CÁLCULO DE UNA VARIABLE;7,8;CHINO-MANDARÍN BÁSICO A;9,1;COMUNICACIÓN II;8,55;FUNDAMENTOS DE PROGRAMACIÓN;6,48;;;;
601;201600624;M;7,42;0,493;75;47,92;BIOLOGÍA;7,22;CÁLCULO DE VARIAS VARIABLES;6,52;DEPORTE: TENIS;9,25;FUNDAMENTOS DE PROGRAMACIÓN;3,44;INGLÉS V;7,83;MACROECONOMÍA I;8,3;;;COMPORTAMIENTO DEL CONSUMIDOR;6,55;COMPORTAMIENTO ORGANIZACIONAL;7,4;FUNDAMENTOS DE PROGRAMACIÓN;6,94;MATEMÁTICAS FINANCIERAS;1,95;MICROECONOMÍA I;6,6;;;;
602;201600582;F;7,86;0,179;83;42,36;BIOLOGÍA;7,85;CÁLCULO DE VARIAS VARIABLES;6,5;COMPORTAMIENTO ORGANIZACIONAL;9,55;FUNDAMENTOS DE PROGRAMACIÓN;4,46;INGLÉS II;7,95;;;;;ESTADÍSTICA DESCRIPTIVA;6;FUNDAMENTOS DE PROGRAMACIÓN;6,48;INGLÉS III;8,17;MACROECONOMÍA I;9,25;MATEMÁTICAS FINANCIERAS;7,47;MICROECONOMÍA I;6,8;;
603;201707536;F;7,71;1,308;96;31,91;BIOLOGÍA;8,65;COMUNICACIÓN II;7,2;DIBUJO ARTÍSTICO;8,5;FUNDAMENTOS DE PROGRAMACIÓN;4,68;MATEMÁTICAS;6,5;;;;;ARTE Y CIENCIA;8,76;ESTADÍSTICA;6,12;FÍSICA CONCEPTUAL;7,12;FUNDAMENTOS DE PROGRAMACIÓN;6,78;MATEMÁTICAS FINANCIERAS;6,25;TEORÍA DE LA CULTURA;7,8;;
604;201713567;M;7,30;0,572;131;17,61;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,55;CÁLCULO DE UNA VARIABLE;5,46;COMUNICACIÓN I;6,75;QUÍMICA GENERAL;6,71;;;;;;;ÁLGEBRA LINEAL;4,76;BIOLOGÍA;7,72;CÁLCULO DE UNA VARIABLE;6,1;COMPUTACIÓN Y SOCIEDAD;7;COMUNICACIÓN II;7,35;FUNDAMENTOS DE PROGRAMACIÓN;7,54;;
605;201600285;F;7,85;0,288;83;42,36;CÁLCULO DE VARIAS VARIABLES;6,88;;;;;;;;;;;;;ESTADÍSTICA DESCRIPTIVA;5,5;FRANCÉS BÁSICO A;9,7;FUNDAMENTOS DE PROGRAMACIÓN;8,96;MACROECONOMÍA I;8,5;MATEMÁTICAS FINANCIERAS;8,57;MICROECONOMÍA I;6,05;;
606;201701075;F;7,77;0,677;88;32,82;BIOLOGÍA;7,91;COMUNICACIÓN II;8,35;FÍSICA CONCEPTUAL;7,38;MATEMÁTICAS;6,38;MORFOLOGÍA HUMANA;8,3;QUÍMICA ORGÁNICA I;6,01;;;ANÁLISIS NUTRICIONAL DE LOS ALIMENTOS;9,2;BIOLOGÍA CELULAR Y MOLECULAR;6,49;BIOQUÍMICA;8,23;FISIOLOGÍA HUMANA;7,95;FUNDAMENTOS DE PROGRAMACIÓN;3,98;INGLÉS III;9,28;;
607;201710605;M;7,47;0,499;132;16,98;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,3;BIOLOGÍA;8,23;CÁLCULO DE UNA VARIABLE;6,62;COMUNICACIÓN I;7;QUÍMICA GENERAL;7,51;;;;;ÁLGEBRA LINEAL;7,08;CÁLCULO DE VARIAS VARIABLES;7,22;COMUNICACIÓN II;7,45;FUNDAMENTOS DE PROGRAMACIÓN;8,3;INGLÉS I;7,96;;;;
608;201707601;M;7,73;1,135;92;34,75;ARTE Y CIENCIA;8,72;COMUNICACIÓN II;7,6;ESTADÍSTICA;7,34;FÍSICA CONCEPTUAL;7,78;FUNDAMENTOS DE PROGRAMACIÓN;5,7;;;;;BIOLOGÍA;7,5;DEPORTE: NATACIÓN;9,8;FUNDAMENTOS DE PROGRAMACIÓN;7,2;HISTORIA DEL ARTE I;6,65;HISTORIA DEL CINE I;6,6;;;;
609;201711504;F;8,19;0,412;128;19,50;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,6;CÁLCULO DE UNA VARIABLE;4,56;COMUNICACIÓN I;6,65;INGLÉS V;8,48;QUÍMICA GENERAL;6,06;;;;;ÁLGEBRA LINEAL;3,54;BIOLOGÍA;8,67;CÁLCULO DE UNA VARIABLE;5,86;COMUNICACIÓN II;7,55;FUNDAMENTOS DE PROGRAMACIÓN;6,8;;;;
610;201703980;M;7,05;0,182;127;22,09;ÁLGEBRA LINEAL;5,06;BIOLOGÍA;7,87;CÁLCULO DE VARIAS VARIABLES;6,24;COMUNICACIÓN II;8,55;FÍSICA I;6,52;INGLÉS I;9,5;;;ÁLGEBRA LINEAL;6,32;FÍSICA II;6,38;FUNDAMENTOS DE PROGRAMACIÓN;6,78;INGLÉS II;8,63;;;;;;
611;201601309;M;7,45;0,480;110;30,82;ÁLGEBRA LINEAL;6,1;BIOLOGÍA;7,71;CIENCIAS DE LA COMPUTACIÓN APLICADAS A LA SOLUCIÓN DE PROBLEMAS;6,65;DEPORTE: FÚTBOL;8,8;FUNDAMENTOS DE PROGRAMACIÓN;5,82;QUÍMICA GENERAL;6,28;;;CÁLCULO DE VARIAS VARIABLES;3,8;DEPORTE: BALONCESTO;10;FUNDAMENTOS DE PROGRAMACIÓN;6,96;;;;;;;;
612;201705076;F;7,17;0,556;99;30,77;COMUNICACIÓN II;7,25;DEPORTE: BALONCESTO;10;FUNDAMENTOS DE ADMINISTRACIÓN;6,25;INTRODUCCIÓN A LA ECONOMÍA;7,9;TEORÍA DEL TURISMO;6,75;;;;;ESTADÍSTICA;6,44;FUNDAMENTOS DE PROGRAMACIÓN;6,02;GEOGRAFÍA FÍSICA;7,26;HISTORIA DEL ARTE I;6;INTRODUCCIÓN A LA GESTIÓN AMBIENTAL;6,85;;;;
613;201710423;M;7,37;0,720;132;16,98;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,2;CÁLCULO DE UNA VARIABLE;7,2;COMUNICACIÓN I;8,1;QUÍMICA GENERAL;8,62;;;;;;;ÁLGEBRA LINEAL;6,28;BIOLOGÍA;7,63;CÁLCULO DE VARIAS VARIABLES;6,74;COMUNICACIÓN II;6,6;FUNDAMENTOS DE PROGRAMACIÓN;7,52;INGLÉS I;7,8;;
614;201808151;M;8,14;0,846;124;13,89;;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,45;CÁLCULO DE UNA VARIABLE;4,6;COMUNICACIÓN I;8;ESTUDIO DE CASOS DE CIENCIAS SOCIALES;9,07;FUNDAMENTOS DE PROGRAMACIÓN;7,68;;;;
615;201600277;F;7,31;0,392;80;44,44;ÁLGEBRA LINEAL;7,18;CÁLCULO DE VARIAS VARIABLES;6,96;MACROECONOMÍA I;8,5;MICROECONOMÍA I;6,15;;;;;;;ECONOMÍA MATEMÁTICA;6,22;ESTADÍSTICA DESCRIPTIVA;5,8;FUNDAMENTOS DE PROGRAMACIÓN;3,34;MICROECONOMÍA II;6,35;;;;;;
616;201713401;M;7,54;0,462;115;19,58;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,75;COMUNICACIÓN I;7,1;CONTABILIDAD I;6,8;MATEMÁTICAS;6,66;;;;;;;COMUNICACIÓN II;8,45;ESTADÍSTICA;8,22;FUNDAMENTOS DE ADMINISTRACIÓN;8,9;FUNDAMENTOS DE PROGRAMACIÓN;2,56;INGLÉS II;7,66;INTRODUCCIÓN A LA ECONOMÍA;7,05;TEORÍA DEL TURISMO;7,7
617;201411772;M;7,55;0,497;88;46,67;ÁLGEBRA LINEAL;2,94;CÁLCULO DE VARIAS VARIABLES;6,7;FÍSICA I;5,9;INGLÉS V;6,75;QUÍMICA GENERAL;6,92;;;;;BIOLOGÍA;7,56;DEPORTE: TENIS;9,9;DEPORTE: VOLEIBOL;9,8;FOTOGRAFÍA;9;FUNDAMENTOS DE PROGRAMACIÓN;7,34;TECNOLOGÍAS DE APOYO A LA LOGÍSTICA;7,66;;
618;201705886;F;7,92;0,371;111;21,28;ARTE Y CIENCIA;8,8;COMUNICACIÓN II;7,75;ESTADÍSTICA;5,88;FÍSICA CONCEPTUAL;6,66;MATEMÁTICAS FINANCIERAS;4,67;TEORÍA DE LA CULTURA;7,2;;;BIOLOGÍA;7,2;DIBUJO ARTÍSTICO;9,9;FUNDAMENTOS DE PROGRAMACIÓN;3,8;INGLÉS II;8,76;MATEMÁTICAS FINANCIERAS;5,45;;;;
619;201711975;F;7,67;0,482;131;19,14;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,1;CÁLCULO DE UNA VARIABLE;5;COMUNICACIÓN I;7,55;INGLÉS III;8,06;QUÍMICA GENERAL;7,02;;;;;ÁLGEBRA LINEAL;5,56;BIOLOGÍA;7,06;CÁLCULO DE UNA VARIABLE;6,96;COMUNICACIÓN II;8,8;FUNDAMENTOS DE PROGRAMACIÓN;7,12;INGLÉS IV;7,5;;
620;201708773;F;7,61;0,227;143;10,06;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,45;CÁLCULO DE UNA VARIABLE;4,68;COMUNICACIÓN I;6,7;QUÍMICA GENERAL;7,12;;;;;;;ÁLGEBRA LINEAL;4,5;BIOLOGÍA;7,4;CÁLCULO DE UNA VARIABLE;7,2;COMUNICACIÓN II;7,8;FUNDAMENTOS DE PROGRAMACIÓN;4,26;;;;
621;201701646;M;7,43;0,328;121;23,90;CÁLCULO DE VARIAS VARIABLES;6,8;DEPORTE: FÚTBOL;10;ECUACIONES DIFERENCIALES;6,7;FÍSICA I;5,6;FUNDAMENTOS DE PROGRAMACIÓN;4,04;;;;;BIOLOGÍA;6,7;COMUNICACIÓN II;6,55;ESTADÍSTICA;4,16;FÍSICA I;6,72;FUNDAMENTOS DE PROGRAMACIÓN;9,28;INGLÉS II;7,75;;
622;201712783;M;7,46;0,801;123;23,60;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,1;CÁLCULO DE UNA VARIABLE;6,38;COMUNICACIÓN I;6,35;FRANCÉS BÁSICO A;8,8;QUÍMICA GENERAL;6,57;;;;;ÁLGEBRA LINEAL;6,64;BIOLOGÍA;8,65;CÁLCULO DE VARIAS VARIABLES;7,78;COMUNICACIÓN II;7,95;FUNDAMENTOS DE PROGRAMACIÓN;8,92;;;;
623;201020039;M;6,73;0,846;45;72,89;DISEÑO DE PROCESOS TÉRMICOS I;6;ESTADÍSTICA;6;FUNDAMENTOS DE PROGRAMACIÓN;2,02;INGENIERÍA DE PROCESOS COMPLEMENTARIOS;6,1;OPTIMIZACIÓN Y SIMULACIÓN DE PROCESOS ALIMENTARIOS;8,25;SANIDAD E HIGIENE ALIMENTARIA;7,1;;;FUNDAMENTOS DE PROGRAMACIÓN;6,42;;;;;;;;;;;;
624;201709763;F;7,61;0,558;145;12,12;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,45;CÁLCULO DE UNA VARIABLE;6,04;COMUNICACIÓN I;8,5;QUÍMICA GENERAL;6,03;;;;;;;ÁLGEBRA LINEAL;5,3;CÁLCULO DE VARIAS VARIABLES;5,28;COMUNICACIÓN II;8,45;FUNDAMENTOS DE PROGRAMACIÓN;7,3;INGLÉS I;8,52;;;;
625;201702214;M;7,20;0,387;123;25,45;ÁLGEBRA LINEAL;6,3;BIOLOGÍA;7,71;CÁLCULO DE VARIAS VARIABLES;6,5;COMUNICACIÓN II;7,75;DEPORTE: VOLEIBOL;8,9;FÍSICA I;5,84;INTRODUCCIÓN A LA INGENIERÍA ESTADÍSTICA;7,4;ECUACIONES DIFERENCIALES;5,52;ESTADÍSTICA DESCRIPTIVA;6,48;FÍSICA I;6,6;FUNDAMENTOS DE PROGRAMACIÓN;6,96;INTRODUCCIÓN A LA ECONOMÍA;6,1;INTRODUCCIÓN A LA GESTIÓN AMBIENTAL;7,55;;
626;201516355;M;7,04;1,245;94;43,37;ÁLGEBRA LINEAL;6,02;ESTADÍSTICA;6,36;FUNDAMENTOS DE PROGRAMACIÓN;2,96;QUÍMICA ALIMENTARIA;6,56;TERMOFLUIDOS;6,46;;;;;BIOQUÍMICA ALIMENTARIA;7,1;ECUACIONES DIFERENCIALES;2,86;FUNDAMENTOS DE PROGRAMACIÓN;6,34;MICROBIOLOGÍA DE ALIMENTOS;6,83;;;;;;
627;201610581;F;7,96;0,526;70;46,56;ANÁLISIS NUTRICIONAL DE LOS ALIMENTOS;9;BIOLOGÍA CELULAR Y MOLECULAR;9,23;BIOQUÍMICA;7,51;ESTADÍSTICA;7,24;FISIOLOGÍA HUMANA;7,7;FUNDAMENTOS DE PROGRAMACIÓN;3,44;INGLÉS II;8,78;DEPORTE: PING PONG;9,65;FUNDAMENTOS DE PROGRAMACIÓN;6,24;INGLÉS III;8,15;MICROBIOLOGÍA GENERAL;7,42;NUTRICIÓN EN EL CICLO DE LA VIDA;6,06;TÉCNICAS DIETÉTICAS BÁSICAS;8,37;;
628;201705506;M;7,61;0,701;125;21,79;ÁLGEBRA LINEAL;5,68;BIOLOGÍA;8,98;CÁLCULO DE VARIAS VARIABLES;7,58;COMUNICACIÓN II;8,2;DEPORTE: BALONCESTO;10;FÍSICA I;6,22;;;ÁLGEBRA LINEAL;6,7;FÍSICA II;6,38;FUNDAMENTOS DE PROGRAMACIÓN;3,92;INGLÉS I;7,35;INTRODUCCIÓN A LA INGENIERÍA QUÍMICA;8,45;;;;
629;201704475;M;6,92;0,224;126;22,22;ÁLGEBRA LINEAL;6,32;BIOLOGÍA;7,57;CÁLCULO DE VARIAS VARIABLES;6,64;COMUNICACIÓN II;8,05;FÍSICA I;6;;;;;ECUACIONES DIFERENCIALES;5,26;FÍSICA II;4,96;FUNDAMENTOS DE PROGRAMACIÓN;6;INGLÉS I;7,3;MECÁNICA VECTORIAL;6,02;;;;
630;201504858;F;7,48;;137;13,84;;;;;;;;;;;;;;;CÁLCULO DE UNA VARIABLE;6,8;FUNDAMENTOS DE PROGRAMACIÓN;6,88;INGLÉS I;7,63;QUÍMICA GENERAL;7,3;;;;;;
631;201501244;M;6,83;0,660;119;25,64;ÁLGEBRA LINEAL;4,62;CÁLCULO DE VARIAS VARIABLES;5,72;FUNDAMENTOS DE PROGRAMACIÓN;3,66;INGLÉS I;7,02;;;;;;;ÁLGEBRA LINEAL;6,1;CÁLCULO DE VARIAS VARIABLES;6,32;FUNDAMENTOS DE PROGRAMACIÓN;6,04;;;;;;;;
632;201713211;M;7,60;0,874;144;12,73;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,65;CÁLCULO DE UNA VARIABLE;5,62;COMUNICACIÓN I;6,95;QUÍMICA GENERAL;6,71;;;;;;;ÁLGEBRA LINEAL;6,38;BIOLOGÍA;8,67;CÁLCULO DE UNA VARIABLE;7,24;COMUNICACIÓN II;8,1;FUNDAMENTOS DE PROGRAMACIÓN;8,06;;;;
633;201614757;F;8,38;2,732;62;52,67;ANÁLISIS NUTRICIONAL DE LOS ALIMENTOS;9,07;BIOLOGÍA CELULAR Y MOLECULAR;8,07;BIOQUÍMICA;9,22;ESTADÍSTICA;8,62;FISIOLOGÍA HUMANA;8,35;;;;;DEPORTE: PING PONG;9,8;FUNDAMENTOS DE PROGRAMACIÓN;9,4;MICROBIOLOGÍA GENERAL;9,42;NUTRICIÓN EN EL CICLO DE LA VIDA;7,37;TÉCNICAS DIETÉTICAS BÁSICAS;8,65;;;;
634;201713880;M;7,09;;142;13,94;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,6;CÁLCULO DE UNA VARIABLE;7,66;COMUNICACIÓN I;6,4;QUÍMICA GENERAL;6,78;;;;;;;ÁLGEBRA LINEAL;6,58;CÁLCULO DE VARIAS VARIABLES;7;FÍSICA I;6,54;FUNDAMENTOS DE PROGRAMACIÓN;5,72;INGLÉS I;7,12;;;;
635;201606803;F;7,94;0,349;65;50,38;ANÁLISIS NUTRICIONAL DE LOS ALIMENTOS;8,85;BIOLOGÍA CELULAR Y MOLECULAR;8,14;BIOQUÍMICA;8,56;ESTADÍSTICA;7,46;FISIOLOGÍA HUMANA;8,7;INTRODUCCIÓN A LA GESTIÓN AMBIENTAL;8,2;;;FUNDAMENTOS DE PROGRAMACIÓN;3,5;MICROBIOLOGÍA GENERAL;7,59;NUTRICIÓN EN EL CICLO DE LA VIDA;6,73;TÉCNICAS DIETÉTICAS BÁSICAS;8,35;;;;;;
636;201613486;F;7,56;0,292;105;34,78;BOTÁNICA GENERAL;7,06;ECUACIONES DIFERENCIALES;5,28;FÍSICA II;6,08;INTRODUCCIÓN A LA INGENIERÍA AGRÍCOLA Y BIOLÓGICA;8,15;QUÍMICA ORGÁNICA I;6,72;;;;;BIOLOGÍA CELULAR Y MOLECULAR;8,47;BIOQUÍMICA;7,22;ECUACIONES DIFERENCIALES;6,84;FUNDAMENTOS DE PROGRAMACIÓN;6,04;INGLÉS I;7,42;INTRODUCCIÓN A LA GESTIÓN AMBIENTAL;9;;
637;201515160;M;7,37;1,104;110;33,33;;;;;;;;;;;;;;;CÁLCULO DE VARIAS VARIABLES;6,76;DIBUJO TÉCNICO Y PLANOS;8,54;ECUACIONES DIFERENCIALES;6,06;FUNDAMENTOS DE PROGRAMACIÓN;6,44;INGLÉS IV;8,25;INTRODUCCIÓN A LA INGENIERÍA CIVIL;9,15;;
