y;matricula;genero;promedio;gms;Créditos por tomar; Avance %;2017-II_mat1;2017-II_notamat1;2017-II_mat2;2017-II_notamat2;2017-II_mat3;2017-II_notamat3;2017-II_mat4;2017-II_notamat4;2017-II_mat5;2017-II_notamat5;2017-II_mat6;2017-II_notamat6;2017-II_mat7;2017-II_notamat7;2018-I_cmat1;2018-I_notacmat1;2018-I_cmat2;2018-I_notacmat2;2018-I_cmat3;2018-I_notacmat3;2018-I_cmat4;2018-I_notacmat4;2018-I_cmat5;2018-I_notacmat5;2018-I_cmat6;2018-I_notacmat6;2018-I_cmat7;2018-I_notacmat7
1097;201702586;M;6,81;0,478;142;10,69;ÁLGEBRA LINEAL;3,80;BIOLOGÍA;6,66;CÁLCULO DE UNA VARIABLE;5,54;FUNDAMENTOS DE PROGRAMACIÓN;3,44;QUÍMICA GENERAL;6,61;;;;;CÁLCULO DE UNA VARIABLE;6,5;FUNDAMENTOS DE PROGRAMACIÓN;6,66;;;;;;;;;;
1098;201804416;M;7,59;3,283;130;18,75; ;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,45;CÁLCULO DE UNA VARIABLE;6,8;COMUNICACIÓN I;6,7;FUNDAMENTOS DE PROGRAMACIÓN;8,92;QUÍMICA GENERAL;7,56;;;;
1099;201700069;F;8,37;0,328;108;23,4;BIOLOGÍA;6,95;COMUNICACIÓN II;7,55;FUNDAMENTOS DE PROGRAMACIÓN;4,84;MATEMÁTICAS;7,60;;;;;;;FUNDAMENTOS DE PROGRAMACIÓN;8,8;;;;;;;;;;;;
1100;201803665;M;7,23;0,476;144;9,43; ;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,5;CÁLCULO DE UNA VARIABLE;7,08;COMUNICACIÓN I;6,25;FUNDAMENTOS DE PROGRAMACIÓN;7,88;QUÍMICA GENERAL;7,45;;;;
1101;201703998;M;7,14;1,485;134;17,79;ÁLGEBRA LINEAL;5,56;BIOLOGÍA;6,96;CÁLCULO DE VARIAS VARIABLES;6,12;COMUNICACIÓN II;7,20;FÍSICA I;5,44;MATEMÁTICAS DISCRETAS;4,04;;;ÁLGEBRA LINEAL;6,4;CHINO-MANDARÍN BÁSICO A;9,45;ESTADÍSTICA;7,54;FÍSICA I;6,28;FUNDAMENTOS DE PROGRAMACIÓN;1;;;;
1102;201800679;M;7,46;1,473;135;15,09; ;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,6;CÁLCULO DE UNA VARIABLE;5,64;COMUNICACIÓN I;7,1;FUNDAMENTOS DE PROGRAMACIÓN;6,7;QUÍMICA GENERAL;6,51;;;;
1103;201513857;F;7,25;0,644;113;21,53; ;;;;;;;;;;;;;;CÁLCULO DE UNA VARIABLE;6,04;ESTUDIO DE CASOS DE CIENCIAS SOCIALES;8,1;FUNDAMENTOS DE PROGRAMACIÓN;3,16;;;;;;;;
1104;201711686;M;6,81;0,667;133;17,9;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,75;CÁLCULO DE UNA VARIABLE;6,06;COMUNICACIÓN I;6,75;FUNDAMENTOS DE PROGRAMACIÓN;2,92;QUÍMICA GENERAL;6,55;;;;;ÁLGEBRA LINEAL;3,1;CÁLCULO DE VARIAS VARIABLES;6,04;COMUNICACIÓN II;7;FÍSICA I;6,46;FUNDAMENTOS DE PROGRAMACIÓN;6,22;;;;
1105;201802329;M;6,75;1,216;144;9,43; ;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,7;CÁLCULO DE UNA VARIABLE;6,48;COMUNICACIÓN I;6;FUNDAMENTOS DE PROGRAMACIÓN;6,74;QUÍMICA GENERAL;6,82;;;;
1106;201710928;F;7,77;0,381;134;16,03;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,70;CÁLCULO DE UNA VARIABLE;7,28;COMUNICACIÓN I;6,95;QUÍMICA GENERAL;6,93;;;;;;;BIOLOGÍA;9,55;CÁLCULO DE VARIAS VARIABLES;7,5;COMUNICACIÓN II;9,15;FÍSICA I;6,68;FUNDAMENTOS DE PROGRAMACIÓN;7,2;;;;
